id,hypotheses,delta_aic,m2logL,df,dispersal,extinction
h,offshore_with_nearest_mainland,0,996.256756354401,2,0.0093888734851282,0.0206154114970986
g,offshore_with_epct,5.50639401459705,1001.763150369,2,0.00864702856530113,0.0205789790901027
f,historical_owen_stanleys,10.0308025586065,1006.28755891301,2,0.0096386408610267,0.0203707254132304
DEC,unconstrained_DEC,23.2300908733945,1019.4868472278,2,0.00462348196227575,0.0180297653467999
e,owen_stanleys,76.0437224763849,1072.30047883079,2,0.0110507325664589,0.0207354221314896
l,distance,118.091669403511,1114.34842575791,2,0.017728539907538,0.0255160849571382
i,offshore_with_accreted,188.220107426584,1184.47686378098,2,0.0187716366863439,0.0337002834567526
d,woodlark_with_louisiade,289.061657967313,1285.31841432171,2,0.0270704275816527,0.0248972846033783
c,louisiade_archipelago,338.049376501193,1334.30613285559,2,0.0281442002503153,0.0233563289644716
a,slow_and_steady,382.79248388691,1379.04924024131,2,0.0301179779691451,0.0232294231882873
j,mobile_belt,402.431695319532,1398.68845167393,2,0.0342762525656841,0.0284614927049465
b,current_connectivity,435.80660844063,1432.06336479503,2,0.0174300994688096,0.0195406883897515
k,recent_emergence,691.469530527586,1687.72628688199,2,0.0929449683312083,0.0589062079311101
